統計期,國家/地區別,<b>總計</b>,1.活動物；動物產品,(1)水產品,2.植物產品,(1)食用蔬菜,(2)食用果實及堅果,3.動植物油脂,4.調製食品；飲料及菸酒,(1)調製食品,(2)飲料、酒類及醋,(3)菸及菸葉代用品,5.礦產品,(1)石油煉製品,6.化學品,(1)有機化學品,7.塑膠、橡膠及其製品,(1)塑膠原料,(2)塑膠製品,(3)橡膠及其製品,8.毛皮及其製品,9.木及木製品,10.紙漿；紙及其製品；印刷品,11.紡織品,(1)紗布,12.鞋、帽及其他飾品,13.非金屬礦物製品,14.珠寶及貴金屬製品,15.基本金屬及其製品,(1)鋼鐵及其製品,(2)其他基本金屬及其製品,16.機械及電機設備,(1)電子零組件,(2)機械,(3)電機產品,(4)資通與視聽產品,(5)家用電器,17.運輸工具,18.光學及精密儀器；鐘錶；樂器,(1)光學及精密儀器,19.其他,(1)家具,(2)玩具與運動用品,月,年
112年 9月,亞洲,25612272.0,108735,98451,31053,5738,2591,7045,133327,75936,29515,14853,731894,628506,1246536,635449,1048353,697044,270232,81077,19631,4426,104501,445541,379329,14565,117428,119887,996362,490040,506322,19482523,15134197,1083602,413887,2838529,12308,158577,652318,643735,189570,27415,55425,9,112
112年 9月,中國大陸,8134400.0,16518,12259,3093,47,60,257,35458,15059,19911,456,98680,19994,594795,327130,431896,306627,103659,21610,2440,857,45038,78801,63611,4354,77675,4868,309259,75851,233408,6062007,4434935,468913,131686,1023007,3466,49443,273964,271683,44997,2500,16758,9,112
112年 9月,香港,5689049.0,10206,9918,4985,394,1692,1218,28473,22389,3480,795,39183,39079,37190,5087,40844,23590,15114,2140,4163,94,5796,19207,13159,1732,8112,73398,24419,6511,17908,5299875,4742653,17324,58474,480524,900,3927,53382,50301,32845,1092,8973,9,112
112年 9月,日本,2191887.0,40536,36940,13142,5175,260,819,10960,5282,233,839,7781,1309,118889,30689,150646,83319,51265,16062,1621,1614,6571,23856,12636,2530,14356,20039,210898,123161,87737,1382708,901314,146603,79350,251533,3908,47733,89108,87233,48080,19284,14839,9,112
112年 9月,南韓,1432213.0,2270,2103,1005,1,118,2739,7417,5720,509,840,328,252,81866,58343,27861,10965,14606,2290,296,157,3186,4603,2596,177,5292,658,61450,26971,34479,1128931,968799,64365,22667,72297,803,9227,85280,84894,9470,1077,4027,9,112
112年 9月,新南向18國(註1),8655274.0,42826,40826,10284,144,438,2364,60675,33050,5851,15496,825558,804464,430075,216929,441153,299284,96518,45351,11144,2015,47613,324156,288705,6132,13212,20766,444265,292219,152046,5681034,4088316,409138,132710,1046111,4759,72114,156158,154779,63730,6489,14686,9,112
112年 9月,東協10國,7467999.0,39123,37154,8003,114,436,2012,49012,26032,5193,11923,572691,556009,283752,116460,272446,165638,74628,32180,10132,1617,37297,270307,243072,5562,9570,20592,331887,211261,120626,5322675,3942844,326362,106201,944845,2423,42608,142138,141183,46575,3013,8638,9,112
112年 9月,泰國,939024.0,25438,25409,398,－,－,163,2912,2148,86,－,443,18,37146,14906,40973,16293,17463,7217,294,46,5289,16051,12900,554,1675,2207,85398,48137,37261,695000,210190,35421,20021,428839,529,10295,9897,9701,4845,509,582,9,112
112年 9月,馬來西亞,1192782.0,1139,976,1344,37,2,1078,9954,6695,243,1695,95823,94560,44751,21654,28174,17375,5406,5393,148,288,6812,3814,2084,74,1005,4291,89709,68812,20897,871842,723671,29460,19007,99195,509,3387,22801,22677,6348,793,843,9,112
112年 9月,印尼,239948.0,617,2,756,－,－,92,2474,1979,7,－,3899,3647,27838,6678,28277,18632,5747,3898,823,185,3949,36125,32614,606,1281,31,32773,20827,11946,86854,35928,30842,5798,14200,86,6281,2224,2126,4863,450,362,9,112
112年 9月,菲律賓,423158.0,1676,1585,906,5,13,173,8427,4780,200,3151,62966,62806,22196,7027,18237,8872,7511,1854,319,561,3617,12713,10544,920,432,717,22940,8313,14627,234645,185843,18742,13911,16020,129,5017,22129,22074,4567,679,887,9,112
112年 9月,新加坡,3512407.0,1034,1005,1573,57,410,125,7654,6565,620,439,399310,392555,43735,21736,26738,4864,20518,1356,650,383,1994,1972,995,545,2455,13048,25829,14637,11192,2946145,2432773,159923,20095,332381,973,3029,25381,24930,10807,439,4499,9,112
112年 9月,越南,1100119.0,9219,8177,2936,9,－,378,15825,3239,3703,5839,9883,2085,104760,44153,125575,96808,16917,11850,6168,148,13087,167655,153481,2804,2399,295,73660,49718,23942,481013,354114,49157,24763,52795,184,12439,58971,58940,12904,139,1464,9,112
112年 9月,汶萊,967.0,－,－,42,6,11,2,287,48,239,－,－,－,61,38,128,－,107,21,2,－,16,4,2,－,8,－,8,－,8,288,131,58,4,95,－,81,3,3,37,－,－,9,112
